Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5970503,MH_12,COUNTRY,CUB,AMR,Americas,YEAR,2010,SEX,SEX_FMLE,,,,,,,4.8 [4.0-5.6],4.75,4,5.63,,2021-02-09T16:35:02Z,2010,2010-01-01,2010-12-31
5970896,MH_12,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2008,SEX,SEX_BTSX,,,,,,,7.2 [4.2-11.7],7.17,4.18,11.6521,,2021-02-09T16:19:56Z,2008,2008-01-01,2008-12-31
5973674,MH_12,COUNTRY,GIN,AFR,Africa,YEAR,2001,SEX,SEX_MLE,,,,,,,13.8 [7.7-23.1],13.8237,7.65,23.1189,,2021-02-09T16:42:57Z,2001,2001-01-01,2001-12-31
5974067,MH_12,COUNTRY,FRA,EUR,Europe,YEAR,2005,SEX,SEX_BTSX,,,,,,,14.8 [13.2-19.7],14.8165,13.1923,19.6937,,2021-02-09T16:40:47Z,2005,2005-01-01,2005-12-31
5975100,MH_12,COUNTRY,SVK,EUR,Europe,YEAR,2003,SEX,SEX_MLE,,,,,,,23.6 [17.7-28.8],23.6454,17.7045,28.8149,,2021-02-09T17:14:42Z,2003,2003-01-01,2003-12-31
5976846,MH_12,COUNTRY,NGA,AFR,Africa,YEAR,2007,SEX,SEX_FMLE,,,,,,,5.1 [2.7-7.9],5.1,2.71,7.86,,2021-02-09T17:03:20Z,2007,2007-01-01,2007-12-31
5978296,MH_12,COUNTRY,GMB,AFR,Africa,YEAR,2007,SEX,SEX_BTSX,,,,,,,11.2 [6.0-18.7],11.2333,6.02,18.7253,,2021-02-09T16:43:19Z,2007,2007-01-01,2007-12-31
5978670,MH_12,COUNTRY,SYC,AFR,Africa,YEAR,2015,SEX,SEX_FMLE,,,,,,,1.4 [1.0-2.0],1.4,0.974,1.95,,2021-02-09T17:16:09Z,2015,2015-01-01,2015-12-31
5978874,MH_12,COUNTRY,BLR,EUR,Europe,YEAR,2009,SEX,SEX_FMLE,,,,,,,8.9 [7.4-10.5],8.93,7.44,10.5206,,2021-02-09T16:27:22Z,2009,2009-01-01,2009-12-31
5980627,MH_12,COUNTRY,AZE,EUR,Europe,YEAR,2000,SEX,SEX_BTSX,,,,,,,3.4 [2.5-4.7],3.42,2.52,4.66,,2021-02-09T16:23:37Z,2000,2000-01-01,2000-12-31
